"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1323","MadTown Robotics","1","120.1","2041","2127","28.5","80.7","10.9","0.62","0.8","0.74","2025cmptx","FIRST Championship","8","33-1-0","0.971"
"2910","Jack in the Bot","2","118.3","2029","2115","26.5","79.6","12.2","0.51","0.81","0.7","2025cmptx","FIRST Championship","8","48-3-0","0.941"
"2056","OP Robotics","3","112.9","1994","2078","31.4","71.1","10.4","0.5","0.74","0.55","2025cmptx","FIRST Championship","8","52-1-0","0.981"
"118","Robonauts","4","108.1","1963","2046","23.8","72.7","11.5","0.91","1","0.85","N/A","N/A","N/A","96-8-0","0.923"
"5940","BREAD","5","103.9","1936","2017","25","68.8","10.1","0.61","0.71","0.74","2025cmptx","FIRST Championship","8","32-1-0","0.970"
"1690","Orbit","6","102.8","1929","2010","29.2","64","9.6","0.47","0.94","0.48","2025cmptx","FIRST Championship","8","44-6-0","0.880"
"4678","CyberCavs","7","100.8","1916","1996","26.4","64.3","10.1","0.6","0.78","0.6","N/A","N/A","N/A","50-3-0","0.943"
"1678","Citrus Circuits","8","99.4","1907","1987","24.4","62.9","12.1","0.75","0.75","0.68","2025cmptx","FIRST Championship","8","46-5-0","0.902"
"3683","Team DAVE","9","98.6","1901","1981","26.7","66.6","5.4","0.65","0.7","0.35","N/A","N/A","N/A","46-8-0","0.852"
"1796","RoboTigers","10","95.5","1882","1961","25.2","60.2","10.2","0.54","0.82","0.63","2025cmptx","FIRST Championship","8","42-2-0","0.955"
"2481","Roboteers","11","94.7","1876","1955","22.2","60.3","12.3","0.69","0.74","0.67","2025cmptx","FIRST Championship","8","34-0-0","1.000"
"7457","suPURDUEper Robotics","12","94.1","1872","1951","23.2","61.3","9.6","0.51","0.51","0.71","N/A","N/A","N/A","48-4-0","0.923"
"3005","RoboChargers","13","93.8","1870","1949","21.2","62.8","9.8","0.74","0.61","0.65","2025cmptx","FIRST Championship","8","49-3-1","0.934"
"1778","Chill Out","14","93.6","1869","1948","21.2","68.6","3.9","0.61","0.69","0.2","2025cmptx","FIRST Championship","8","46-7-0","0.868"
"422","The Mech Tech Dragons","15","93","1865","1943","21","60.3","11.7","0.62","0.56","0.74","N/A","N/A","N/A","49-3-0","0.942"
"254","The Cheesy Poofs","16","92.4","1861","1939","21.1","60.7","10.6","0.58","0.62","0.7","2025cmptx","FIRST Championship","8","29-2-0","0.935"
"6329","The Bucks' Wrath","17","92.2","1860","1938","21.8","60.1","10.2","0.75","0.46","0.69","N/A","N/A","N/A","45-8-0","0.849"
"1771","North Gwinnett Robotics","18","91.9","1858","1936","27.5","54.8","9.6","0.79","0.61","0.66","2025cmptx","FIRST Championship","8","49-2-0","0.961"
"694","StuyPulse","19","91.9","1858","1936","23.4","56.8","11.7","0.64","0.74","0.78","2025cmptx","FIRST Championship","8","40-2-0","0.952"
"6800","Valor","20","90.9","1851","1929","21.8","56.3","12.8","0.6","0.63","0.63","N/A","N/A","N/A","47-6-0","0.887"
"5409","Chargers","21","90.7","1850","1928","25.1","62.5","3","0.43","0.22","0.18","N/A","N/A","N/A","46-6-0","0.885"
"604","Quixilver","22","89","1839","1916","22.4","60.6","6","0.46","0.64","0.26","2025cmptx","FIRST Championship","8","30-5-0","0.857"
"868","TechHOUNDS","23","89","1839","1916","22","54.5","12.5","0.46","0.67","0.56","2025cmptx","FIRST Championship","8","46-7-0","0.868"
"4946","The Alpha Dogs","24","87","1826","1903","20.8","55.5","10.7","0.56","0.74","0.68","2025cmptx","FIRST Championship","8","42-11-0","0.792"
"359","Hawaiian Kids","25","85.8","1819","1895","19.1","53.2","13.5","0.61","0.63","0.8","2025cmptx","FIRST Championship","8","59-7-0","0.894"
"1706","Ratchet Rockers","26","85.2","1815","1891","21.9","52.9","10.5","0.47","0.7","0.5","2025cmptx","FIRST Championship","8","28-2-0","0.933"
"5687","The Outliers","27","85","1813","1889","23.5","52.9","8.7","0.51","0.54","0.55","N/A","N/A","N/A","52-16-0","0.765"
"33","Killer Bees","28","84.9","1813","1888","19.7","55.7","9.5","0.68","0.47","0.59","2025cmptx","FIRST Championship","8","39-11-0","0.780"
