"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"118","Robonauts","4","108.1","1963","2046","23.8","72.7","11.5","0.91","1","0.85","N/A","N/A","N/A","96-8-0","0.923"
"3005","RoboChargers","13","93.8","1870","1949","21.2","62.8","9.8","0.74","0.61","0.65","2025cmptx","FIRST Championship","8","49-3-1","0.934"
"6800","Valor","20","90.9","1851","1929","21.8","56.3","12.8","0.6","0.63","0.63","N/A","N/A","N/A","47-6-0","0.887"
"6369","Mercenary Robotics","35","82.9","1800","1875","22.3","52.2","8.5","0.61","0.37","0.69","N/A","N/A","N/A","45-5-0","0.900"
"148","Robowranglers","123","70.4","1719","1790","12.4","50.3","7.7","0.66","0.46","0.59","2025cmptx","FIRST Championship","8","45-9-0","0.833"
"9105","TechnoTalons","154","67.8","1702","1772","14.3","46.4","7.2","0.56","0.4","0.41","N/A","N/A","N/A","38-14-0","0.731"
"5411","RoboTalons","199","63.8","1674","1745","15.1","38.5","10.2","0.59","0.37","0.67","N/A","N/A","N/A","35-15-0","0.700"
"5572","Rosbots","217","63.1","1669","1740","16.9","35.9","10.3","0.65","0.06","0.74","2025cmptx","FIRST Championship","8","38-11-0","0.776"
"2468","Team Appreciate","218","63","1668","1740","6.2","48.8","8.1","0.43","0.33","0.38","N/A","N/A","N/A","34-30-0","0.531"
"2714","♨️ BBQ ♨️","224","62.8","1667","1739","13.6","42","7.1","0.38","0.25","0.51","2025cmptx","FIRST Championship","8","32-13-0","0.711"
"3310","Black Hawk Robotics","242","61.5","1658","1729","13.7","38.1","9.6","0.31","0.22","0.5","2025cmptx","FIRST Championship","8","46-29-0","0.613"
"3847","Spectrum   -△◅","243","61.4","1658","1729","13","38.5","9.9","0.53","0.25","0.66","N/A","N/A","N/A","42-7-1","0.850"
"1477","Texas Torque","244","61.4","1657","1729","12.1","41.7","7.5","0.56","0.23","0.55","N/A","N/A","N/A","37-12-1","0.750"
"2881","Lady Cans","252","61","1654","1726","11","41","9","0.36","0.29","0.56","2025cmptx","FIRST Championship","8","40-16-0","0.714"
"624","CRyptonite","260","60.6","1652","1723","14.5","40.7","5.4","0.55","0.17","0.23","N/A","N/A","N/A","31-21-0","0.596"
"9140","The Robobots","265","60.4","1651","1722","8.7","45.9","5.8","0.31","0.19","0.12","N/A","N/A","N/A","34-21-0","0.618"
"418","Purple Haze","297","59.2","1644","1714","14.8","35.3","9.1","0.48","0.3","0.42","2025cmptx","FIRST Championship","8","30-20-0","0.600"
"9492","LadyTalons","329","57.8","1637","1705","13.1","36.9","7.8","0.5","0.26","0.42","N/A","N/A","N/A","26-21-0","0.553"
"8749","Farmersville  Robotics","334","57.5","1635","1703","14.3","33.5","9.8","0.36","0.04","0.49","N/A","N/A","N/A","30-17-0","0.638"
"1296","Full Metal Jackets","372","55.9","1628","1692","5.1","42.5","8.3","0.32","0.09","0.68","N/A","N/A","N/A","30-15-0","0.667"
"7121","Keller Fusion Robotics","405","54.3","1622","1681","16.3","36.5","1.5","0.58","0.25","0.11","N/A","N/A","N/A","25-21-1","0.543"
"231","High Voltage","415","53.8","1620","1677","7.7","36.3","9.8","0.68","0.22","0.52","N/A","N/A","N/A","33-28-2","0.540"
"5892","Energy HEROs","436","53.2","1617","1673","15.3","33.9","4","0.37","0.15","0.19","N/A","N/A","N/A","30-19-0","0.612"
"324","Chips","440","52.9","1616","1671","7.2","39.2","6.5","0.62","0.29","0.35","N/A","N/A","N/A","33-15-1","0.684"
"2583","Orange Dynamite","450","52.5","1614","1668","12.5","38.8","1.2","0.5","0.14","0.02","N/A","N/A","N/A","28-19-1","0.594"
"10014","REBELLION","463","52.1","1613","1666","8.7","39.9","3.6","0.41","0.22","0.19","N/A","N/A","N/A","25-20-1","0.554"
"8576","Golden Warriors Robotics","464","52.1","1613","1666","4.8","39.6","7.8","0.24","0.01","0.47","N/A","N/A","N/A","22-22-0","0.500"
"2848","Rangers","477","51.4","1610","1661","14.9","33.7","2.8","0.72","0.15","0.16","N/A","N/A","N/A","26-21-0","0.553"
"9128","ITKAN Robotics: Team Tawasaw","479","51.3","1609","1661","11.4","32.9","7","0.47","-0.02","0.44","N/A","N/A","N/A","38-23-0","0.623"
"6672","Fusion Corps","501","51","1608","1658","13.6","33.1","4.4","0.5","0.08","0.3","N/A","N/A","N/A","26-21-0","0.553"
"7492","CavBots","508","50.9","1607","1657","12.2","36.8","1.9","0.65","0.11","-0.08","N/A","N/A","N/A","33-14-0","0.702"
"10340","ITKAN Girls","540","49.8","1603","1651","11.3","32.4","6.1","0.26","0.16","0.22","N/A","N/A","N/A","30-28-1","0.517"
"3035","Droid Rage","591","48.4","1597","1640","8.3","37","3","0.39","0.31","-0.03","2025cmptx","FIRST Championship","8","35-17-0","0.673"
"5414","Pearadox","613","47.6","1594","1636","9.9","34.7","3","0.36","-0.16","0.05","N/A","N/A","N/A","25-19-1","0.567"
"457","⚙️ Grease Monkeys ⚙️","622","47.4","1593","1634","8.4","28.5","10.4","0.57","0.17","0.73","N/A","N/A","N/A","29-17-1","0.628"
"6357","The Spring Konstant","631","47","1591","1631","7.4","33.4","6.3","0.27","0.18","0.26","2025cmptx","FIRST Championship","8","31-18-0","0.633"
"2582","PantherBots","642","46.7","1590","1629","6.8","32.9","7.1","0.27","0.32","0.62","N/A","N/A","N/A","34-13-0","0.723"
"2689","Team Alpha","657","46.2","1588","1626","7.9","28.5","9.9","0.52","0.04","0.78","N/A","N/A","N/A","27-19-0","0.587"
"5431","Titan Robotics","708","44.9","1582","1617","6.1","36.1","2.7","0.23","0.34","0.18","N/A","N/A","N/A","22-23-0","0.489"
"4641","TALON Inc.","715","44.7","1582","1616","13","29.4","2.3","0.44","0.14","-0.02","N/A","N/A","N/A","22-24-0","0.478"
"4734","The Iron Plainsmen","718","44.6","1581","1615","8.3","32.5","3.8","0.45","0.04","0.18","N/A","N/A","N/A","20-21-0","0.488"
"5427","Steel Talons","722","44.5","1581","1614","7.6","32.3","4.6","0.26","0.17","0.28","N/A","N/A","N/A","25-21-2","0.542"
"8088","Bionic Panthers","738","44","1579","1611","3.8","36.6","3.6","0.06","-0.08","0.14","N/A","N/A","N/A","25-20-0","0.556"
"2687","Team Apprentice","750","43.8","1578","1609","6.9","28.6","8.3","0.5","0.11","0.31","N/A","N/A","N/A","21-30-0","0.412"
"2585","Impact","841","41.3","1567","1592","8.4","25.1","7.8","0.4","0.27","0.58","N/A","N/A","N/A","23-21-0","0.523"
"6377","Howdy Bots","871","40.8","1565","1589","10.1","29.3","1.5","0.46","0.35","0.02","N/A","N/A","N/A","27-19-0","0.587"
"7119","Sunset RoboBison","912","40","1562","1584","10.1","21.9","8","0.59","0.07","0.41","N/A","N/A","N/A","21-20-0","0.512"
"2587","DiscoBots","924","39.6","1560","1581","8.5","28.1","3.1","0.46","0.13","0.17","N/A","N/A","N/A","18-27-0","0.400"
"9418","Pastabots","941","39.3","1559","1579","7","27.1","5.2","0.27","0.03","0.35","N/A","N/A","N/A","27-21-0","0.563"
"8177","Vector","969","38.6","1556","1574","7.7","22.7","8.2","0.24","0.15","0.39","N/A","N/A","N/A","25-23-0","0.521"
"4192","Jaguar Robotics","1012","37.6","1551","1567","8","27.9","1.7","0.26","-0.11","0.08","N/A","N/A","N/A","12-28-1","0.305"
"4639","The RoboSpartans","1017","37.5","1551","1567","6.4","27.9","3.2","0.22","0.2","0.15","N/A","N/A","N/A","25-23-0","0.521"
"3735","VorTX","1035","37.1","1549","1564","8.5","26.9","1.7","0.43","0","0","N/A","N/A","N/A","25-18-0","0.581"
"9136","Rampage","1054","36.6","1547","1561","5.5","28.5","2.6","0.26","-0.1","0.13","N/A","N/A","N/A","13-16-0","0.448"
"3679","rattlers","1107","35.6","1543","1554","9.9","24.2","1.5","0.4","0.01","0.03","N/A","N/A","N/A","24-17-1","0.583"
"9506","Conspiracy Robotics","1122","35.3","1541","1552","5.8","24.5","4.9","0.27","0.18","0.28","N/A","N/A","N/A","16-27-0","0.372"
"9137","Bionic Vipers","1125","35.2","1541","1551","6.3","25.8","3.1","0.25","0.06","0.1","N/A","N/A","N/A","25-23-0","0.521"
"8858","Beast from the East","1135","35","1540","1550","4","26","5.1","0.22","-0.09","0.32","N/A","N/A","N/A","13-16-0","0.448"
"6974","Zia Robotics","1140","35","1540","1550","3.6","30.3","1","0.21","-0.02","0.07","N/A","N/A","N/A","23-24-0","0.489"
"7312","T3","1177","34.2","1537","1545","5.5","26.5","2.2","0.31","0.02","0.12","N/A","N/A","N/A","24-18-0","0.571"
"3545","Bots in Blue","1195","33.9","1536","1542","4.2","19","10.7","0.35","-0.05","0.71","N/A","N/A","N/A","21-24-1","0.467"
"4063","TriKzR4Kidz","1196","33.9","1535","1542","5.1","26.2","2.5","0.37","0.17","0.24","N/A","N/A","N/A","25-16-1","0.607"
"1164","Project NEO","1255","32.7","1530","1534","6.8","24.5","1.4","0.44","-0.18","0.06","N/A","N/A","N/A","15-14-0","0.517"
"4153","Project Y","1270","32.4","1529","1532","4.9","19.6","8","0.44","0.14","0.37","N/A","N/A","N/A","20-21-0","0.488"
